ID,Ano,Dia Juliano,Hora - minuto,Temperatura,Umidade
181,2017,2,620,20.43,95.3
182,2017,2,630,20.72,94.5
183,2017,2,640,20.89,93.2
184,2017,2,650,21.18,90.4
185,2017,2,700,21.2,90.0
186,2017,2,710,21.37,89.4
187,2017,2,720,21.62,89.5
188,2017,2,730,21.82,88.2
189,2017,2,740,21.97,87.2
190,2017,2,750,22.03,87.4
191,2017,2,800,22.37,86.5
192,2017,2,810,22.74,86.1
193,2017,2,820,23.21,84.5
194,2017,2,830,23.63,83.3
195,2017,2,840,24.15,82.8
196,2017,2,850,25.0,80.2
197,2017,2,900,25.42,77.9
198,2017,2,910,25.7,76.7
199,2017,2,920,26.48,74.7
200,2017,2,930,26.87,72.3
201,2017,2,940,26.86,72.2
202,2017,2,950,26.84,71.2
203,2017,2,1000,26.85,71.3
204,2017,2,1010,27.12,70.0
205,2017,2,1020,27.47,67.91
206,2017,2,1030,27.62,66.89
207,2017,2,1040,28.2,66.24
208,2017,2,1050,27.87,66.84
209,2017,2,1100,27.28,69.02
210,2017,2,1110,27.58,67.87
211,2017,2,1120,28.1,66.82
212,2017,2,1130,27.84,69.03
213,2017,2,1140,27.66,70.5
214,2017,2,1150,27.65,70.2
215,2017,2,1200,27.84,69.92
216,2017,2,1210,27.92,68.9
217,2017,2,1220,27.84,68.21
218,2017,2,1230,27.73,68.7
219,2017,2,1240,27.8,67.45
220,2017,2,1250,28.09,67.05
221,2017,2,1300,28.1,67.35
222,2017,2,1310,28.29,66.5
223,2017,2,1320,28.14,65.87
224,2017,2,1330,28.5,65.42
225,2017,2,1340,28.88,63.07
226,2017,2,1350,28.9,61.49
227,2017,2,1400,29.07,60.56
228,2017,2,1410,29.53,58.63
229,2017,2,1420,29.77,59.05
230,2017,2,1430,30.14,59.1
231,2017,2,1440,29.85,58.85
232,2017,2,1450,29.71,59.27
233,2017,2,1500,30.49,57.76
234,2017,2,1510,30.7,56.5
235,2017,2,1520,30.44,57.49
236,2017,2,1530,30.65,56.82
237,2017,2,1540,30.95,55.06
238,2017,2,1550,30.66,55.49
239,2017,2,1600,30.22,54.87
240,2017,2,1610,29.85,55.66
241,2017,2,1620,30.18,52.7
242,2017,2,1630,30.34,52.68
243,2017,2,1640,29.8,52.56
244,2017,2,1650,29.77,53.17
245,2017,2,1700,29.69,53.98
246,2017,2,1710,29.72,53.91
247,2017,2,1720,29.69,53.69
248,2017,2,1730,29.54,54.47
249,2017,2,1740,29.41,55.59
250,2017,2,1750,28.8,63.61
251,2017,2,1800,28.27,68.27
252,2017,2,1810,27.73,70.2
253,2017,2,1820,27.28,68.85
254,2017,2,1830,27.0,66.64
255,2017,2,1840,26.74,66.54
256,2017,2,1850,26.4,67.38
257,2017,2,1900,26.18,67.51
258,2017,2,1910,26.06,67.48
259,2017,2,1920,25.75,68.86
260,2017,2,1930,25.79,68.62
261,2017,2,1940,25.79,67.88
262,2017,2,1950,25.87,66.99
263,2017,2,2000,26.01,66.34
264,2017,2,2010,25.89,67.59
265,2017,2,2020,25.7,68.5
266,2017,2,2030,25.6,69.04
267,2017,2,2040,25.41,69.03
268,2017,2,2050,25.15,69.16
269,2017,2,2100,24.81,69.36
270,2017,2,2110,24.4,69.95
271,2017,2,2120,24.11,71.3
272,2017,2,2130,23.84,72.6
273,2017,2,2140,23.71,72.7
