ts,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2017-01-01,28.21142855845371,28.390057333906636,28.037330320391913,27.599526951661034,27.429512760622888,27.478602625483646,27.86506167164139,30.92208014494912,33.24355031913719,34.75888596656583,36.06818182149671,36.96441778884079,37.78784817458472,37.99876113079138,37.11210600805953,37.329167316711036,36.34613864667006,33.78707548221786,28.282810014545678,28.56421837851475,28.79954535858461,28.886296094434112,28.749885534284672,29.046272836608356,0
2017-01-02,29.081057425893842,28.54281609656405,27.88846592783902,27.821664606039565,27.336513327884198,26.697399475477305,27.655247806472467,28.847708063921797,31.446968699181514,34.92679372861132,35.863655877322834,36.30607827439211,36.533397688912686,36.89772809377118,37.80106650563268,38.88694685588714,37.09770018568549,36.67018786815808,35.305760320996214,32.93455963584273,32.518407954693735,30.447609686423,30.292164781899857,30.155720260673466,0
2017-01-03,29.583827121849453,29.20359762661939,28.93103121040926,28.573912683772928,28.58699988657617,28.464002278795352,28.766867448298346,31.538068458246666,34.456579239870685,36.78763968725795,38.62877061266172,39.679502079901575,39.88590993197569,39.75775237384768,39.799068354083616,39.36537788760751,36.04245593871528,32.452484214896,32.72514851012082,31.914443136207513,30.99424639377984,28.452908111937642,26.948673621688997,28.122323803613003,0
2017-01-04,28.298674744721907,27.69613183117232,27.23523930476359,27.11096149289555,27.437518919604763,27.51934169052515,27.629403507648398,28.493021389519285,30.12108884281707,31.508817483049974,32.83044878869841,34.45225379795437,35.72429067594825,35.666872263886795,35.2295038188639,33.817783345798794,36.624940765853694,35.994807623750546,34.561864047099775,32.872028622420586,32.730541847164595,32.46866760718385,32.28014077518967,31.880591749054176,0
2017-01-05,31.41697430677415,31.331718370217985,31.06098173397409,30.838037162134253,29.965732063686882,29.679887012968006,30.75325819770361,32.97205818218865,34.1639058554193,35.22597228266308,36.25261352213766,37.42001042458514,31.343741216490148,30.981171095752092,33.065020608626625,33.454441177921765,33.519411262250244,34.23511793069893,34.10028428041276,31.928875792521485,30.95496278032803,30.251803589641266,30.746057418330132,30.3472465939984,0
2017-01-06,29.780932191924236,29.332353378744227,28.29139667195656,27.88018892987235,27.37510777027011,27.196465430466965,28.60023477907875,30.902049945346306,32.952530259509395,34.79382178975509,35.92801693569224,37.67968658525051,38.4205630377827,39.10501060679732,39.12915037924806,37.559692555676435,38.024019567177035,32.50103817550496,29.03818886629486,29.05020656336853,29.570951844265426,29.937149717186305,30.30312663671413,30.00445160415741,0
2017-01-07,29.20799017635564,28.625889260129824,28.23090148741128,28.417876708979087,27.671564713463802,27.447840686667003,28.985017371913727,32.211751701945346,34.09352221863833,35.36426694331328,37.05964057954213,37.62895349189273,38.4921014511066,39.37596751947292,40.08946214686799,39.92750300704882,38.650338417667044,37.237489312650816,35.38683490115493,32.53187713352427,31.38895735504651,30.984971331168705,30.80604832836011,30.594058336566253,0
2017-01-08,30.323943286040567,29.945735672371235,29.808293825227324,29.893056736160645,29.48191487373618,28.928335210912326,30.133487080402976,31.851602385953235,32.61975454516165,34.58930474668364,36.59498152197639,38.09757928698096,38.696602413904216,38.97337976278215,39.69849869889595,39.5529243925106,38.56173029697376,38.35941521982031,36.4028342010734,32.36853124820507,31.490178329823127,30.872183069142128,30.42832298998985,30.305269117678375,0
2017-01-09,29.91712123701712,29.542591778694163,29.542970071984037,29.55234020214398,29.664020848695806,29.573916673672514,29.706299480424637,30.499447979052192,31.8634831916945,33.977409192015244,35.91167696044783,37.61460274502822,38.812669521962654,39.8681171885049,40.737431042997216,36.053580540109714,32.38116561660906,29.63312380632661,28.50044797113985,28.524724335682837,28.67244411443423,28.855570386925674,28.92979369509237,29.589740063095533,0
2017-01-10,29.654196748294662,29.449041650676737,29.248752943960014,28.754940366311263,28.088405273072595,27.876600734886136,28.39506715959143,29.546799190175943,31.48067918379311,33.70438357950401,35.515569927316385,36.992152251156256,36.96043787059821,37.147399857788635,38.30989193847075,37.578062745367866,37.032740261601596,36.39681391997689,35.260001646332604,33.55460748447546,33.09306515532089,32.994332656630355,33.04745593080631,29.684745999902,0
2017-01-11,27.609525922721506,27.845492403796616,27.922256659979425,27.706762799846874,28.04339266335891,28.867743358791127,29.40230665243421,30.754526404752845,32.16253025145193,33.456334357531354,34.90421809790608,35.61185656881128,36.72189151400815,37.138760524060324,37.796434138322255,38.0827511014233,38.35813326566835,37.265975965899855,34.5097604609523,30.974187772117162,30.219234217638782,30.54007855815245,30.889356479153705,31.002279964179092,0
2017-01-12,30.31893966192721,29.372066526501175,28.503023641872264,28.261039246930288,28.475136144920306,28.76358046030068,29.417221148588613,30.72113816134082,31.43461654481338,32.32632554041702,33.12515791437141,33.41023472899952,35.15798671830545,34.75423044172344,29.82187958884242,29.414885901313205,31.464933828486263,33.01070293707473,31.87461271932816,30.864135731355915,30.447402147079266,29.92915693074521,29.54500720712374,29.155989591162392,0
2017-01-13,28.58382648901599,27.843045380350127,26.590890693875643,25.974360059481807,25.85068633610872,25.859708832134142,26.409157498425287,27.83456255513967,29.1572362513026,31.012010020233244,33.64190133261151,35.85713695830489,36.43061280296649,36.09313378612149,36.39524529558695,32.07186199610932,31.07513366497622,31.308797303632645,31.33098284420012,30.072972610741573,29.570760812704894,29.020135381800326,28.485858451719984,28.4734168571381,0
2017-01-14,28.160501145410425,27.3146747329339,27.790436155257574,26.716513891597145,26.24019468374312,25.738321533538908,27.740944488546155,31.13035902472414,32.54984952068078,33.919256471640594,35.4298935112628,36.2402554960088,36.49712745172396,37.82792641504688,38.078297892242865,38.152993618774644,38.27548891212384,37.80634688976062,37.18756542674277,28.70436994144461,27.658996722831322,27.322014872651067,27.26058362535049,27.77954367589535,0
2017-01-15,27.27172527742363,27.22678054849317,27.06520250273512,26.336465927412572,26.194520643070465,26.286162835016746,28.12174331061841,30.38428417714141,32.59532844616279,33.63933236738826,34.66377567688055,36.1801649645384,36.62089767129723,37.23387545773286,37.32443499658912,37.5758298088017,38.30000565543035,35.921090814603545,34.40341712775789,33.089616826350834,32.28203304308808,32.04510037393546,31.94392306663532,31.56312282867803,0
