ts,Hora,Hmax,cluster
2017-01-01,13,37.99876113079138,1
2017-01-02,15,38.88694685588714,1
2017-01-03,12,39.88590993197569,1
2017-01-04,16,36.624940765853694,1
2017-01-05,11,37.42001042458514,1
2017-01-06,14,39.12915037924806,1
2017-01-07,14,40.08946214686799,1
2017-01-08,14,39.69849869889595,1
2017-01-09,14,40.737431042997216,1
2017-01-10,14,38.30989193847075,1
2017-01-11,16,38.35813326566835,1
2017-01-12,12,35.15798671830545,1
2017-01-13,12,36.43061280296649,1
2017-01-14,16,38.27548891212384,1
2017-01-15,16,38.30000565543035,1
2017-01-16,14,37.34561203582395,1
2017-01-17,17,32.86381402943849,1
2017-01-18,16,32.8610827950164,1
2017-01-19,15,33.06027873974901,1
2017-01-20,13,33.097194443699514,1
2017-01-21,13,33.40194590932836,1
2017-01-22,17,30.756609474840328,1
2017-01-23,13,33.51213438079873,1
2017-01-24,12,37.215170080586965,1
2017-01-25,15,37.40055360004889,1
2017-01-26,9,33.498041445618185,1
2017-01-27,15,33.528634583095105,1
2017-01-28,14,39.897206128764736,1
2017-01-29,16,37.04052893154583,1
2017-01-30,14,38.72330304634495,1
2017-01-31,14,37.44448206463704,1
2017-02-01,12,35.50256664961601,1
2017-02-02,16,31.51953735557919,1
2017-02-03,16,36.52525854176119,1
2017-02-04,11,36.91588375388747,1
2017-02-05,15,40.512309035515464,1
2017-02-06,15,39.4628323377251,1
2017-02-07,15,39.93065357474795,1
2017-02-08,13,38.06630015694661,1
2017-02-09,13,35.7022369878902,1
2017-02-10,15,38.2461212499424,1
2017-02-11,15,37.52647159914808,1
2017-02-12,15,39.53937350591293,1
2017-02-13,15,37.811634167251746,1
2017-02-14,14,38.37977362078731,1
2017-02-15,16,39.874525891404545,1
2017-02-16,16,38.756571151777614,1
2017-02-17,13,40.11398852644535,1
2017-02-18,15,40.15689999948579,1
2017-02-19,16,41.36160270653971,1
2017-02-20,15,40.611314359443895,1
2017-02-21,13,38.67179303487266,1
2017-02-22,16,38.429941013515794,1
2017-02-23,16,37.94002623158778,1
2017-02-24,13,38.13491195953161,1
2017-02-25,16,33.96836050832156,1
2017-02-26,12,34.066118756424125,1
2017-02-27,17,36.810744754424036,1
2017-02-28,16,38.333276556824025,1
2017-03-01,15,38.302872839867284,1
2017-03-02,13,35.99729501409585,1
2017-03-03,12,37.77461880103408,1
2017-03-04,13,38.52280103089433,1
2017-03-05,11,33.62564191063044,1
2017-03-06,14,38.98445557543207,1
2017-03-07,12,39.968547753668545,1
2017-03-08,15,40.085947280551494,1
2017-03-09,15,39.043405609206864,1
2017-03-10,0,30.632885383595003,1
2017-03-11,23,32.31036909931993,1
2017-03-12,23,33.80320395265151,1
2017-03-13,13,36.27819987290865,1
2017-03-14,13,36.62348705667816,1
2017-03-15,14,35.625069922948754,1
2017-03-16,15,34.98364596751388,1
2017-03-17,15,35.27173472251044,1
2017-03-18,14,31.48281093811057,1
