ts,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2017-01-01,28.211428558453708,28.390057333906633,28.037330320391913,27.599526951661034,27.429512760622885,27.47860262548365,27.865061671641385,30.92208014494912,33.24355031913719,34.75888596656583,36.06818182149671,36.96441778884079,37.78784817458472,37.99876113079138,37.112106008059534,37.329167316711036,36.34613864667006,33.78707548221786,28.282810014545678,28.564218378514745,28.79954535858461,28.886296094434115,28.74988553428467,29.04627283660836
2017-01-02,29.08105742589384,28.542816096564046,27.888465927839025,27.821664606039565,27.336513327884195,26.697399475477305,27.65524780647247,28.847708063921793,31.446968699181514,34.92679372861132,35.863655877322834,36.306078274392114,36.533397688912686,36.89772809377118,37.801066505632676,38.88694685588714,37.09770018568549,36.670187868158074,35.305760320996214,32.934559635842724,32.51840795469374,30.447609686423,30.29216478189986,30.155720260673462
2017-01-03,29.583827121849456,29.20359762661939,28.93103121040926,28.573912683772924,28.586999886576173,28.464002278795352,28.766867448298346,31.538068458246663,34.45657923987068,36.78763968725795,38.62877061266172,39.67950207990157,39.88590993197569,39.75775237384768,39.79906835408362,39.36537788760751,36.04245593871528,32.452484214895996,32.72514851012082,31.91444313620751,30.99424639377984,28.452908111937642,26.948673621688993,28.122323803613003
2017-01-04,28.298674744721907,27.696131831172316,27.23523930476359,27.11096149289555,27.437518919604763,27.51934169052515,27.629403507648398,28.493021389519285,30.12108884281707,31.508817483049977,32.83044878869841,34.45225379795437,35.72429067594824,35.666872263886795,35.2295038188639,33.817783345798794,36.624940765853694,35.994807623750546,34.561864047099775,32.872028622420586,32.730541847164595,32.46866760718385,32.28014077518967,31.880591749054176
2017-01-05,31.41697430677415,31.33171837021799,31.060981733974092,30.83803716213425,29.96573206368688,29.679887012968003,30.75325819770361,32.97205818218865,34.1639058554193,35.22597228266308,36.25261352213766,37.42001042458515,31.34374121649015,30.98117109575209,33.06502060862662,33.45444117792176,33.519411262250244,34.23511793069892,34.10028428041276,31.928875792521495,30.95496278032803,30.251803589641263,30.746057418330132,30.347246593998396
2017-01-06,29.78093219192424,29.332353378744223,28.291396671956562,27.880188929872347,27.37510777027011,27.196465430466972,28.60023477907875,30.90204994534631,32.9525302595094,34.793821789755086,35.92801693569224,37.67968658525051,38.4205630377827,39.10501060679732,39.12915037924806,37.55969255567644,38.024019567177035,32.50103817550496,29.03818886629486,29.050206563368533,29.57095184426543,29.937149717186305,30.303126636714126,30.00445160415741
2017-01-07,29.20799017635564,28.625889260129824,28.230901487411277,28.417876708979083,27.671564713463805,27.447840686667003,28.98501737191373,32.211751701945346,34.09352221863833,35.36426694331328,37.059640579542126,37.628953491892744,38.49210145110659,39.37596751947292,40.08946214686799,39.92750300704882,38.65033841766705,37.23748931265081,35.38683490115493,32.53187713352427,31.38895735504651,30.984971331168705,30.80604832836011,30.594058336566256
2017-01-08,30.323943286040567,29.945735672371235,29.80829382522732,29.893056736160645,29.481914873736184,28.928335210912326,30.133487080402976,31.851602385953235,32.619754545161655,34.58930474668364,36.59498152197639,38.09757928698096,38.69660241390422,38.97337976278216,39.69849869889595,39.55292439251059,38.561730296973764,38.359415219820306,36.4028342010734,32.36853124820507,31.490178329823127,30.872183069142135,30.428322989989848,30.305269117678378
2017-01-09,29.91712123701712,29.54259177869416,29.542970071984037,29.55234020214398,29.664020848695813,29.573916673672514,29.706299480424633,30.499447979052192,31.8634831916945,33.977409192015244,35.91167696044783,37.614602745028215,38.812669521962654,39.868117188504904,40.73743104299721,36.05358054010971,32.38116561660906,29.63312380632661,28.50044797113985,28.524724335682833,28.672444114434235,28.855570386925667,28.929793695092368,29.589740063095533
2017-01-10,29.654196748294662,29.44904165067674,29.248752943960007,28.75494036631126,28.088405273072595,27.876600734886136,28.395067159591427,29.546799190175946,31.480679183793107,33.70438357950401,35.515569927316385,36.992152251156256,36.96043787059821,37.14739985778863,38.30989193847075,37.578062745367866,37.03274026160159,36.396813919976886,35.2600016463326,33.55460748447546,33.093065155320886,32.99433265663035,33.04745593080631,29.684745999902002
2017-01-11,27.609525922721506,27.845492403796616,27.922256659979425,27.706762799846867,28.043392663358915,28.867743358791135,29.402306652434206,30.754526404752845,32.16253025145193,33.456334357531354,34.90421809790608,35.61185656881127,36.72189151400815,37.13876052406032,37.79643413832226,38.0827511014233,38.35813326566835,37.265975965899855,34.5097604609523,30.974187772117162,30.219234217638785,30.54007855815245,30.889356479153705,31.00227996417909
2017-01-12,30.318939661927207,29.37206652650117,28.50302364187226,28.26103924693029,28.475136144920306,28.76358046030068,29.417221148588617,30.721138161340825,31.43461654481338,32.32632554041702,33.125157914371414,33.41023472899952,35.15798671830545,34.75423044172344,29.82187958884242,29.414885901313205,31.46493382848626,33.010702937074726,31.87461271932816,30.864135731355915,30.44740214707927,29.92915693074521,29.54500720712374,29.15598959116239
2017-01-13,28.58382648901599,27.843045380350127,26.59089069387564,25.974360059481814,25.85068633610872,25.85970883213414,26.409157498425294,27.83456255513967,29.1572362513026,31.012010020233244,33.64190133261151,35.85713695830489,36.43061280296649,36.09313378612149,36.39524529558695,32.07186199610932,31.07513366497622,31.308797303632645,31.330982844200122,30.072972610741566,29.570760812704897,29.02013538180033,28.485858451719984,28.4734168571381
