,Tmax,P90
0,29.395,29.48083333333333
1,24.241666666666664,29.352000000000004
2,23.765,29.161000000000005
3,24.491666666666664,28.951833333333337
4,25.69,28.951833333333337
5,25.58833333333333,29.03916666666667
6,22.90166666666667,29.016666666666666
7,26.153333333333336,29.001500000000007
8,29.00500000000001,29.001500000000007
9,29.528333333333336,29.03416666666667
10,24.85666666666667,29.161000000000005
11,25.27666666666667,29.294500000000003
12,32.77,29.53066666666667
13,32.90333333333333,29.75433333333333
14,31.435,29.75433333333333
15,31.42,29.924
16,27.633333333333336,30.138500000000004
17,23.92,30.35116666666667
18,28.20166666666667,30.5
19,27.62666666666667,30.7085
20,31.58833333333333,30.905500000000004
21,30.993333333333336,30.999166666666667
22,32.160000000000004,31.048500000000004
23,31.03,31.311166666666672
24,30.06,31.311166666666672
25,31.60333333333333,31.311166666666672
26,30.895,31.311166666666672
27,32.69833333333333,31.311166666666672
28,31.68666666666667,31.060500000000005
29,32.06166666666667,30.989333333333335
30,33.59666666666667,30.95283333333333
31,32.37833333333333,30.94666666666667
32,32.18666666666667,30.94666666666667
33,33.575,30.94666666666667
34,34.75833333333333,30.94666666666667
35,34.421666666666674,30.981333333333335
36,32.68333333333334,30.981333333333335
37,33.05166666666667,31.005166666666668
38,32.885,30.94666666666667
39,29.59666666666667,30.894999999999996
40,25.903333333333336,30.894999999999996
41,26.34166666666667,30.744500000000002
42,29.9,30.744500000000002
43,30.638333333333332,30.66133333333333
44,30.75,30.540333333333336
45,27.616666666666664,30.48716666666667
46,27.986666666666665,30.255666666666663
47,29.30333333333333,29.99733333333333
48,24.06333333333333,29.892000000000003
49,28.941666666666666,29.682166666666674
50,31.99000000000001,29.582166666666673
51,31.62,29.33616666666667
52,31.298333333333336,29.192500000000003
53,23.325696202531642,29.10033333333333
54,25.072531645569626,28.89666666666667
55,26.819367088607603,28.866166666666665
56,30.645,28.866166666666665
57,31.08333333333334,28.866166666666665
58,30.61,28.668000000000003
59,30.78,28.530500000000004
60,31.76,28.299333333333337
61,26.0,28.299333333333337
62,24.903333333333336,28.447
63,27.31333333333333,28.590666666666664
64,28.555000000000003,28.852000000000004
65,30.07166666666667,28.796666666666674
66,28.67,28.62466666666667
67,30.26833333333333,28.590666666666664
68,30.805000000000003,28.52466666666667
69,30.028333333333336,28.684000000000005
70,24.676666666666666,28.852000000000004
71,28.20833333333333,28.852000000000004
72,27.12166666666667,28.6935
73,27.661666666666665,28.668000000000003
74,26.35833333333333,28.65683333333333
75,25.925,28.552500000000006
76,27.87666666666667,28.375833333333333
77,29.45,28.375833333333333
78,30.3,28.375833333333333
79,31.22666666666667,28.441000000000003
80,25.070000000000004,28.417
81,28.37,28.224666666666664
82,29.411666666666665,28.115166666666667
83,30.83833333333334,28.066333333333336
84,30.9,27.987500000000004
85,30.45666666666667,27.86866666666667
86,26.18,27.86866666666667
87,26.595,27.791000000000004
88,28.994999999999994,27.791000000000004
89,29.756666666666664,27.791000000000004
90,29.65166666666667,27.791000000000004
91,26.52666666666667,27.791000000000004
92,24.97666666666667,27.779166666666665
93,26.506666666666664,27.566500000000005
94,29.058333333333334,27.363666666666667
95,25.27666666666667,27.08503409090909
96,24.08333333333333,27.08503409090909
97,24.74833333333333,26.863662878787878
98,28.336666666666666,26.514833333333332
99,29.00333333333333,26.305999999999997
100,22.58,26.055155303030304
101,20.65333333333333,25.8385
102,22.415000000000006,25.91476515151515
103,21.357586206896556,25.848166666666664
104,22.468275862068968,25.679166666666667
105,23.57896551724138,25.513428030303032
106,24.689655172413797,25.31516666666667
107,27.67333333333333,25.23964772727273
108,26.161818181818184,25.23964772727273
109,22.95727272727273,25.102814655172416
110,24.00333333333333,24.952079545454552
111,25.84,24.92964798850575
112,25.775,24.952079545454552
113,26.32833333333333,25.012524425287356
114,25.56333333333333,25.012524425287356
115,23.726666666666667,25.012524425287356
116,25.951666666666664,25.164732758620694
117,27.81,25.23964772727273
118,23.5,25.31516666666667
119,25.55666666666667,25.356477272727272
120,24.06833333333334,25.42366666666667
121,24.765,25.42366666666667
122,21.146666666666665,25.42366666666667
123,18.575,25.147500000000008
124,24.605,25.077000000000005
125,21.455,25.077000000000005
126,24.258333333333336,25.177
127,25.02333333333333,25.295833333333334
128,26.513333333333332,25.33916666666667
129,27.6,25.197499999999998
130,28.635,25.147500000000008
131,26.946666666666665,25.147500000000008
132,26.17833333333333,25.014333333333333
133,26.14333333333333,24.7635
134,25.49333333333333,24.7635
135,25.80666666666667,24.65083333333333
136,18.646666666666665,24.65083333333333
137,21.49,24.86383333333334
138,25.035,24.930500000000002
139,28.926666666666666,25.0315
140,21.236666666666668,25.0315
141,25.75500000000001,25.0315
142,28.57333333333333,25.110166666666665
143,28.39333333333333,25.177
144,21.415000000000006,25.110166666666665
145,19.12333333333333,24.92
146,23.736666666666665,24.677833333333332
147,21.72,24.510166666666674
148,19.765,24.571
149,23.675,24.571
150,24.645,24.454166666666673
151,24.258333333333336,24.282500000000006
152,25.851666666666667,24.282500000000006
153,25.111666666666668,24.282500000000006
154,26.905,24.15516666666667
155,21.22,23.89566666666667
156,23.73166666666667,23.89566666666667
157,25.68333333333333,23.823000000000008
158,25.65166666666667,23.672000000000004
159,25.855,23.553000000000004
160,23.92833333333333,23.614500000000003
161,25.37333333333333,23.69483333333333
162,23.84,23.811333333333337
163,25.405,23.88283333333333
164,25.881666666666664,23.975166666666667
165,25.125,24.116833333333336
166,23.81833333333334,24.18333333333333
167,19.795,24.40183333333333
168,19.646666666666665,24.18333333333333
