,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,cluster
2017-01-01,24.72029707458074,24.884932947548947,24.592768152837223,24.43055387410479,24.337461561857022,24.290916700811625,24.473028242930198,24.96059289751225,26.35960065291131,27.580915660011634,28.711759319426534,29.968526749604315,30.622512207194703,30.2300893353823,29.943793043147434,30.469021080314295,30.505261224485754,29.655899822319622,26.467624609959913,24.99591145242284,24.639636273769746,24.468890832981145,24.467683777147574,24.51425937143427,0
2017-01-02,24.515005264695244,24.567162243368678,24.52326652867267,24.072398049551207,23.53749728749886,23.69790340823223,25.14141741664715,26.77926311670189,29.186863672050368,30.881256419196536,31.05405956757515,31.277017529114385,31.644022239317476,31.779840962008443,32.19083244178277,31.97381324847746,32.814527992690735,30.974343786817396,28.77525476993903,26.958592839278637,25.835757191475842,25.38882136777803,25.14800745198143,24.736351669829403,0
2017-01-03,24.62550766942803,25.8103769876665,24.652209319447593,24.082441641715544,23.52714675033118,23.206193132594535,24.01024086868255,26.439742504745766,28.4652568890385,29.951691698578962,30.162060589949306,30.904800061988634,31.564292113035208,32.349365387428406,32.71378032648734,32.53352735885328,33.9309744144299,33.44952726355996,31.05380835810424,28.427692817804886,26.16517295621557,25.350965037307144,24.948665572050253,24.624169586718143,0
2017-01-04,25.083170684009957,27.13655941871441,24.29262385366107,23.295475548178068,23.15064247623254,23.07890592115774,24.858079470560668,27.965316285131642,29.79897550563343,31.75161879611923,32.41688186463486,33.09274870284408,33.60938806374743,33.89422801152314,34.312411979163606,34.395202146510655,35.56606308786184,34.469347851382366,33.50378488680976,31.268657469465122,29.60348071355507,28.340486961933387,27.633379901967444,26.954641643028285,2
2017-01-05,27.05826518276027,29.412805632652848,27.220187021681447,25.993375621512477,25.649774204064023,25.661875654588425,26.0499487422324,29.101167949496983,31.15139110122192,32.89885661704993,33.44243502367503,34.3301537668919,35.24116812952413,35.609611758204146,35.729001794941055,34.92654744426933,35.607100466959984,35.459650884490145,32.92055069287986,30.7915442238197,28.58368821725366,27.05759511695954,26.009530727528375,25.414171982578353,2
2017-01-06,24.99444859449077,25.447839370090595,24.715934197907732,24.138316638979287,23.84162219425246,23.983084680904376,25.240527981738687,28.67452807500911,31.416272351472326,33.42650935476782,33.300797897747955,33.971597312091134,34.79970661427108,35.051303152989654,35.59330645075207,35.21060938021404,36.76015064770167,33.22587877800548,31.550205716885795,29.382019159606614,26.372959371617235,25.70395504347885,25.65094154881115,25.376591058928152,2
2017-01-07,26.105037201318233,28.473990243160006,29.438546715242644,29.937621390222063,30.223958259226496,30.258351773771853,30.7101136918018,30.71358277155676,30.305774095495373,30.03084549469102,30.73875896824874,31.92162846283157,32.76551814598398,33.35317568099639,33.5227037053267,33.62161354971184,33.58868530657179,30.16933679167905,27.836279977566036,26.870939209293386,26.570931648313902,26.582146824838837,26.567055546466264,26.46051395518531,2
2017-01-08,25.003549709843927,26.855567112568757,25.35519190055651,24.676602798141616,24.31413572552288,23.756623801501167,23.90550167876524,25.591519713785992,26.488125525515585,27.305610055320734,27.952637030994854,28.909827772660847,29.64621165294239,29.776527495795108,30.033487789767502,29.908761276203577,30.788756140462944,27.566046824747808,25.889799471059288,24.002020420914004,23.421711604996034,22.81341842105687,22.512349889366067,22.196316714244333,0
2017-01-09,21.75965593052903,24.64016702669718,21.47606300123971,20.493131818414962,20.54162465593895,20.209132094706597,21.6470829276013,24.287062896986626,26.638211645212337,28.492625739416376,28.713206310866124,29.931273798980243,30.777333295694618,31.364804771797893,31.42083949082761,31.216729056120045,33.019020536773695,32.25521424257222,30.557597359932316,28.398152519297007,26.79704597515908,25.859430513593434,24.914008148295068,24.248387255697686,0
2017-01-10,24.349226504746895,24.214348275738743,22.726723988386464,22.54141541021013,21.937409399812417,21.79307916744315,24.128629219130378,27.399065424746382,29.15272003541343,30.46707056996226,30.448757331473146,31.52868539111574,32.28655990714948,32.62146345591375,32.84823523946248,33.020838972076305,33.81291769639875,32.758063185706824,31.314781568271915,29.746418455820628,27.282588455123673,26.687190208105065,25.707762374872033,25.389602785535057,2
2017-01-11,25.28018051480577,23.94351602921933,23.90223090828266,23.543636918608854,22.87801494634014,22.76561951550883,25.22333292411598,28.43058995992556,30.713167682382327,32.25937462470394,32.42067024784405,33.06619065352608,33.586876021856725,33.88230391858296,34.304972886512694,34.4287229933681,35.242607576146824,33.55636739872627,31.94016085047945,29.840775520358434,28.012496862088266,27.507579909762732,27.072391510295727,26.364936721974324,2
2017-01-12,25.658928726212466,24.141847660654363,24.191629079462235,23.347800967717006,23.1916279160141,23.09880937025947,24.923270528897024,27.792971576097077,29.546153451106505,31.212444101986627,31.09802282708486,32.134050198910174,32.69322568227233,33.27229338659527,33.547528213729024,33.46153282630387,34.36058916447455,33.169986691755675,31.025695073544796,29.165787754041666,27.198778675253607,26.364140538949933,26.201158357018805,25.909114995255432,2
2017-01-13,25.63337875169765,25.93670578094197,24.574894285529005,24.368793271541733,24.49677005628878,23.974292335744916,25.182005722741764,27.812681772499253,30.133252141168043,32.29048035252069,32.73433069195115,33.28752815744607,34.280825318009505,34.95236826745022,34.85752722294551,35.216605201902475,33.121183488790464,32.30842072953461,30.93203097279988,29.402213514279463,27.577335364989104,26.62973979186726,26.10016628607279,25.676861076120147,2
2017-01-14,25.98413443011198,27.242554075058628,25.223485602070724,24.420063466069326,23.960737747297877,24.03275989093822,25.988181958110978,29.11593447360942,30.35111734164886,32.199752255650125,32.41481501928242,33.52949147427985,34.30618108660833,34.79877964618863,35.47393989427817,35.61334630990109,36.66319833722225,35.632782233930605,34.31495392342867,31.86487146491863,29.87532219133186,29.538585731323256,29.36555135847901,29.00885066773932,2
